GAME;SCORE;CATEGORY;RELEASE DATE;SUMMARY;CONSOLE;NEW_USED;PRICE
Minecraft;8;Genero Aventura;09/05/2012;Cada cierto tiempo aparecen titulos que  ?;X360;NUEVO;64
The Elder Scrolls V: Skyrim;9.6;Genero Rol;11/11/2011;La quinta entrega de The Elder Scrolls r ?;X360;USADO;44
Call of Duty: Black Ops 2;8.8;Genero Accion;13/11/2012;Black Ops II trae de vuelta el estilo de ?;X360;NUEVO;64
Assassin's Creed 4;9.5;Genero Accion;29/10/2013;Black Flag es una inmejorable aventura d ?;X360;NUEVO;71
Destiny;8;Genero Accion;09/09/2014;Destiny  con sus fortalezas y sus debili ?;X360;USADO;37
Metal Gear Solid V: The Phantom Pain;10;Genero Accion;01/09/2015;Metal Gear Solid levanto los cimientos s ?;X360;USADO;45
Dragon Ball: Xenoverse;7.5;Genero Accion;27/02/2015;Esta vez el Dragon Shenron se ha portado ?;X360;USADO;40
Call of Duty: Black Ops 3;8.1;Genero Accion;06/11/2015;Entrega del a¤o 2015 de la saga belica C ?;X360;NUEVO;69
Dark Souls II;9.5;Genero Rol;14/03/2014;Dark Souls II imprime su propio sello si ?;X360;USADO;42
Left 4 Dead 2;8.1;Genero Accion;19/11/2009;Left 4 Dead 2 dividira a los usuarios qu ?;X360;NUEVO;69
Forza Horizon;8.9;Genero Deportes;26/10/2012;Los britanicos de Playground Games recog ?;X360;NUEVO;64
Battlefield 4;8.5;Genero Accion;31/10/2013;Battlefield 4 es una de las mejores expe ?;X360;NUEVO;64
Gears of War 3;9.5;Genero Accion;20/09/2011;Con la accion por bandera y con la calid ?;X360;USADO;39
Watch Dogs;8.5;Genero Accion;27/05/2014;Watch Dogs ?;X360;NUEVO;72
Halo 4;9;Genero Accion;06/11/2012;Halo 4 es accion de la vieja escuela. Co ?;X360;USADO;45
Rise of the Tomb Raider;8.5;Genero Accion;10/11/2015;La veterana Lara Croft protagoniza este  ?;X360;USADO;44
Red Dead Redemption;9.9;Genero Accion;21/05/2010;Red Dead Redemption es el mejor videojue ?;X360;NUEVO;71
GTA Online;8.5;Genero Accion;01/10/2013;Rockstar aseguro que GTA Online era un p ?;X360;USADO;39
The Witcher 2;9.3;Genero Rol;17/04/2012;La traslacion a Xbox 360 de The Witcher  ?;X360;NUEVO;75
State of Decay;8;Genero Accion;05/06/2013;"El genero de los ""survival horror"" sigue ?";X360;USADO;42
Dark Souls;9.2;Genero Rol;07/10/2011;Dark Souls es diversion de la vieja escu ?;X360;USADO;41
